Egypt,Egypt,Egypt,Egypt,Egypt,,Atacama milled,Atacama milled,Atacama milled,Atacama milled,,Etosha,Etosha,Etosha,Etosha,,Taklamakan,Taklamakan,Taklamakan,Taklamakan
T Â©,T (K),dT (K),ns (m^2) ,dns (m^2),,T (K),dT (K),ns (m^2) ,dns (m^2),,T (K),dT (K),ns (m^2) ,dns (m^2),,T (K),dT (K),ns (m^2) ,dns (m^2)
254.15,-19,0.2,11800000,3280000,,261.91,0.2,118500.21,137330.22,,258.73,0.2,91162.94,153344.11,,258.11,0.2,246725.69,283842
254.14,-19.01,0.2,12000000,3340000,,261.52,0.2,158060.74,141797.41,,258.67,0.2,136790.69,155457.71,,257.95,0.2,329093.5,291623.53
254.07,-19.08,0.2,12200000,3390000,,261.46,0.2,197651.58,147335.46,,258.58,0.2,182449.34,158352.6,,257.58,0.2,411524.43,301316.96
254.04,-19.11,0.2,12400000,3490000,,261.43,0.2,237272.77,153831.39,,257.92,0.2,228138.94,161988.51,,257.46,0.2,494018.57,312749.23
253.97,-19.18,0.2,12800000,3550000,,261.42,0.2,276924.36,161171.96,,257.88,0.2,273859.53,166318.39,,257.39,0.2,576576.03,325741.8
253.95,-19.2,0.2,13000000,3650000,,261.02,0.2,316606.4,169249.73,,257.88,0.2,319611.16,171291.17,,256.64,0.2,659196.89,340120.22
253.93,-19.22,0.2,13500000,3720000,,261.01,0.2,356318.93,177966.65,,257.76,0.2,365393.86,176854.09,,256.63,0.2,741881.26,355720.62
253.85,-19.3,0.2,13700000,3770000,,260.9,0.2,396062,187235.67,,257.74,0.2,411207.68,182954.77,,256.62,0.2,824629.24,372393.42
253.85,-19.3,0.2,13900000,3830000,,260.88,0.2,515474.93,217649.08,,257.71,0.2,457052.66,189542.68,,256.6,0.2,907440.92,390004.9
253.79,-19.36,0.2,14100000,3880000,,260.75,0.2,555340.64,228469.06,,257.65,0.2,502928.84,196570.18,,256.59,0.2,990316.39,408437.28
253.78,-19.37,0.2,14300000,3940000,,260.62,0.2,595237.12,239557.22,,257.52,0.2,548836.26,203993.14,,256.51,0.2,1070000,427587.89
253.75,-19.4,0.2,14500000,4030000,,260.58,0.2,635164.42,250879.67,,257.38,0.2,594774.97,211771.23,,256.36,0.2,1160000,447367.85
253.71,-19.44,0.2,14900000,4100000,,260.56,0.2,675122.6,262407.69,,257.29,0.2,640745.02,219867.98,,256.26,0.2,1240000,467700.51
253.69,-19.46,0.2,15100000,4160000,,260.54,0.2,715111.69,274116.89,,257.24,0.2,686746.43,228250.63,,256.16,0.2,1410000,509769.46
253.66,-19.49,0.2,15300000,4210000,,260.49,0.2,755131.76,285986.48,,257.21,0.2,732779.26,236889.98,,255.97,0.2,1490000,531400.3
253.62,-19.53,0.2,15500000,4400000,,260.45,0.2,795182.84,297998.73,,257.12,0.2,824939.34,254837.76,,255.97,0.2,1570000,553370.5
253.58,-19.57,0.2,16400000,4490000,,260.44,0.2,835264.98,310138.42,,257.09,0.2,871066.67,264102.77,,255.86,0.2,1740000,598188.98
253.54,-19.61,0.2,16600000,4540000,,260.27,0.2,875378.23,322392.48,,256.99,0.2,917225.59,273537.02,,255.85,0.2,1820000,620978.81
253.53,-19.62,0.2,16800000,4600000,,260.23,0.2,915522.65,334749.63,,256.95,0.2,1010000,292851.21,,255.82,0.2,1910000,643989.71
253.52,-19.63,0.2,17000000,4660000,,260.15,0.2,955698.27,347200.1,,256.93,0.2,1060000,302704.51,,255.82,0.2,1990000,667201.11
253.47,-19.68,0.2,17200000,4710000,,259.98,0.2,1040000,372348.07,,256.88,0.2,1100000,312673.35,,255.69,0.2,2070000,690595.03
253.46,-19.69,0.2,17400000,4810000,,259.98,0.2,1080000,385031.69,,256.62,0.2,1150000,322747.85,,255.68,0.2,2160000,714155.69
253.45,-19.7,0.2,17800000,4880000,,259.94,0.2,1120000,397780.54,,256.62,0.2,1190000,332919.26,,255.65,0.2,2240000,737869.23
253.41,-19.74,0.2,18000000,4930000,,259.94,0.2,1160000,410589.6,,256.61,0.2,1240000,343179.76,,255.57,0.2,2410000,785707.36
253.32,-19.83,0.2,18200000,4990000,,259.92,0.2,1200000,423454.44,,256.43,0.2,1330000,363940.84,,255.51,0.2,2490000,809811.52
253.3,-19.85,0.2,18500000,5090000,,259.9,0.2,1240000,436371.13,,256.34,0.2,1430000,384983.59,,255.5,0.2,2580000,834027.35
253.24,-19.91,0.2,18900000,5160000,,259.79,0.2,1280000,449336.16,,256.27,0.2,1520000,406269.71,,255.43,0.2,2660000,858347.21
253.2,-19.95,0.2,19100000,5220000,,259.78,0.2,1320000,462346.43,,256.23,0.2,1570000,416994.07,,255.33,0.2,2750000,882764.3
253.19,-19.96,0.2,19300000,5270000,,259.7,0.2,1360000,475399.15,,256.14,0.2,1660000,438588.73,,255.32,0.2,2910000,931866.33
253.11,-20.04,0.2,19500000,5330000,,259.67,0.2,1440000,501622.18,,256.11,0.2,1710000,449453.26,,255.31,0.2,3080000,981291.57
253.1,-20.05,0.2,19700000,5380000,,259.62,0.2,1560000,541220.27,,256.02,0.2,1750000,460359.19,,255.3,0.2,3170000,1010000
253.1,-20.05,0.2,19900000,5490000,,259.54,0.2,1600000,554483.09,,255.97,0.2,1800000,471304.24,,255.17,0.2,3340000,1060000
253.05,-20.1,0.2,20400000,5550000,,259.51,0.2,1640000,567775.28,,255.93,0.2,1850000,482286.33,,255.15,0.2,3420000,1080000
253.03,-20.12,0.2,20600000,5610000,,259.5,0.2,1680000,581095.57,,255.91,0.2,1890000,493303.58,,255.15,0.2,3510000,1110000
252.98,-20.17,0.2,20800000,5670000,,259.46,0.2,1730000,594442.84,,255.91,0.2,1940000,504354.23,,255.14,0.2,3760000,1180000
252.93,-20.22,0.2,21000000,5720000,,259.38,0.2,1770000,607816.07,,255.91,0.2,2030000,526549.54,,255.11,0.2,3850000,1210000
252.9,-20.25,0.2,21200000,5780000,,259.38,0.2,1810000,621214.31,,255.9,0.2,2080000,537691.37,,255.09,0.2,4020000,1260000
252.89,-20.26,0.2,21400000,5840000,,259.38,0.2,1850000,634636.69,,255.88,0.2,2130000,548860.96,,254.98,0.2,4100000,1280000
252.89,-20.26,0.2,21600000,5900000,,259.34,0.2,1930000,661550.77,,255.86,0.2,2220000,571278.95,,254.96,0.2,4190000,1310000
252.85,-20.3,0.2,21800000,6000000,,259.29,0.2,1970000,675041.07,,255.8,0.2,2270000,582525.31,,254.96,0.2,4360000,1360000
252.74,-20.41,0.2,22300000,6070000,,259.18,0.2,2090000,715637.69,,255.76,0.2,2320000,593795.34,,254.79,0.2,4530000,1410000
252.71,-20.44,0.2,22500000,6170000,,259.15,0.2,2130000,729210.03,,255.76,0.2,2460000,627739.39,,254.78,0.2,4960000,1540000
252.69,-20.46,0.2,22900000,6240000,,259.13,0.2,2180000,742801.66,,255.75,0.2,2510000,639096.29,,254.61,0.2,5050000,1570000
252.67,-20.48,0.2,23100000,6390000,,259.12,0.2,2220000,756412.16,,255.74,0.2,2550000,650473.22,,254.59,0.2,5130000,1590000
252.66,-20.49,0.2,23800000,6470000,,259.08,0.2,2300000,783688.21,,255.73,0.2,2600000,661869.6,,254.51,0.2,5220000,1620000
252.65,-20.5,0.2,24000000,6530000,,259.02,0.2,2380000,811035.37,,255.7,0.2,2650000,673284.86,,254.47,0.2,5300000,1640000
252.61,-20.54,0.2,24200000,6580000,,259,0.2,2420000,824734.85,,255.6,0.2,2740000,696170.06,,254.44,0.2,5390000,1670000
252.6,-20.55,0.2,24400000,6640000,,258.98,0.2,2460000,838451.23,,255.6,0.2,2790000,707639.06,,254.44,0.2,5560000,1720000
252.52,-20.63,0.2,24600000,6700000,,258.98,0.2,2630000,893480.8,,255.59,0.2,2930000,742146.77,,254.41,0.2,5650000,1750000
252.51,-20.64,0.2,24900000,6800000,,258.95,0.2,2710000,921091.07,,255.57,0.2,2980000,753681.67,,254.33,0.2,5740000,1770000
252.49,-20.66,0.2,25300000,6960000,,258.94,0.2,2920000,990383.98,,255.55,0.2,3080000,776797.98,,254.31,0.2,5820000,1800000
252.48,-20.67,0.2,25900000,7050000,,258.93,0.2,2960000,1000000,,255.44,0.2,3220000,811584.4,,254.31,0.2,5910000,1830000
252.48,-20.67,0.2,26200000,7150000,,258.92,0.2,3010000,1020000,,255.44,0.2,3360000,846499.12,,254.3,0.2,6000000,1850000
252.44,-20.71,0.2,26600000,7270000,,258.89,0.2,3090000,1050000,,255.38,0.2,3410000,858164.83,,254.29,0.2,6080000,1880000
252.4,-20.75,0.2,27000000,7340000,,258.87,0.2,3130000,1060000,,255.37,0.2,3460000,869843.96,,254.26,0.2,6260000,1930000
252.32,-20.83,0.2,27200000,7400000,,258.86,0.2,3170000,1070000,,255.35,0.2,3550000,893241.74,,254.19,0.2,6430000,1980000
252.31,-20.84,0.2,27500000,7460000,,258.79,0.2,3260000,1100000,,255.29,0.2,3650000,916691.11,,254.18,0.2,6520000,2010000
252.27,-20.88,0.2,27700000,7510000,,258.78,0.2,3300000,1120000,,255.27,0.2,3700000,928434.76,,254.16,0.2,6610000,2040000
252.26,-20.89,0.2,27900000,7570000,,258.77,0.2,3340000,1130000,,255.26,0.2,3790000,951959.32,,254.14,0.2,6870000,2120000
252.2,-20.95,0.2,28100000,7680000,,258.71,0.2,3430000,1160000,,255.26,0.2,3890000,975532.72,,254.12,0.2,6960000,2140000
252.19,-20.96,0.2,28600000,7750000,,258.69,0.2,3470000,1170000,,255.26,0.2,3990000,999154.03,,254.12,0.2,7220000,2220000
252.18,-20.97,0.2,28800000,7810000,,258.66,0.2,3510000,1190000,,255.24,0.2,4040000,1010000,,254.11,0.2,7310000,2250000
252.17,-20.98,0.2,29000000,7870000,,258.64,0.2,3550000,1200000,,255.19,0.2,4180000,1050000,,254.01,0.2,7400000,2280000
252.14,-21.01,0.2,29200000,7930000,,258.64,0.2,3680000,1240000,,255.19,0.2,4230000,1060000,,253.99,0.2,7480000,2300000
252.11,-21.04,0.2,29400000,8030000,,258.62,0.2,3760000,1270000,,255.19,0.2,4280000,1070000,,253.97,0.2,7570000,2330000
252.09,-21.06,0.2,29900000,8100000,,258.59,0.2,3850000,1300000,,255.15,0.2,4330000,1080000,,253.96,0.2,7660000,2360000
252.02,-21.13,0.2,30100000,8160000,,258.58,0.2,3930000,1330000,,255.12,0.2,4420000,1110000,,253.95,0.2,7750000,2380000
252.01,-21.14,0.2,30300000,8220000,,258.55,0.2,4060000,1370000,,255.11,0.2,4470000,1120000,,253.93,0.2,8010000,2460000
252.01,-21.14,0.2,30500000,8280000,,258.48,0.2,4190000,1410000,,255.08,0.2,4520000,1130000,,253.8,0.2,8190000,2520000
252,-21.15,0.2,30800000,8340000,,258.47,0.2,4280000,1440000,,255.08,0.2,4570000,1140000,,253.8,0.2,8280000,2540000
251.95,-21.2,0.2,31000000,8400000,,258.45,0.2,4320000,1460000,,255.03,0.2,4620000,1150000,,253.77,0.2,8460000,2600000
251.93,-21.22,0.2,31200000,8460000,,258.4,0.2,4360000,1470000,,255.02,0.2,4670000,1170000,,253.75,0.2,8630000,2650000
251.9,-21.25,0.2,31400000,8610000,,258.39,0.2,4450000,1500000,,254.97,0.2,4720000,1180000,,253.67,0.2,8720000,2680000
251.89,-21.26,0.2,32100000,8700000,,258.38,0.2,4490000,1510000,,254.95,0.2,4770000,1190000,,253.65,0.2,9080000,2790000
251.84,-21.31,0.2,32300000,8760000,,258.32,0.2,4530000,1530000,,254.92,0.2,4860000,1210000,,253.64,0.2,9170000,2810000
251.83,-21.32,0.2,32500000,8860000,,258.31,0.2,4580000,1540000,,254.92,0.2,4910000,1230000,,253.64,0.2,9260000,2840000
251.79,-21.36,0.2,33000000,8940000,,258.3,0.2,4660000,1570000,,254.91,0.2,4960000,1240000,,253.63,0.2,9440000,2900000
251.77,-21.38,0.2,33200000,9040000,,258.29,0.2,4710000,1590000,,254.9,0.2,5010000,1250000,,253.59,0.2,9530000,2920000
251.7,-21.45,0.2,33700000,9120000,,258.29,0.2,4750000,1600000,,254.9,0.2,5060000,1260000,,253.5,0.2,9800000,3000000
251.66,-21.49,0.2,33900000,9180000,,258.28,0.2,4790000,1620000,,254.9,0.2,5110000,1270000,,253.47,0.2,9980000,3060000
251.65,-21.5,0.2,34100000,9240000,,258.25,0.2,4880000,1640000,,254.9,0.2,5210000,1300000,,253.46,0.2,10100000,3090000
251.61,-21.54,0.2,34300000,9300000,,258.17,0.2,5180000,1750000,,254.79,0.2,5260000,1310000,,253.45,0.2,10200000,3110000
251.58,-21.57,0.2,34600000,9360000,,258.15,0.2,5270000,1780000,,254.78,0.2,5310000,1320000,,253.43,0.2,10200000,3140000
251.56,-21.59,0.2,34800000,9470000,,258.13,0.2,5310000,1790000,,254.75,0.2,5350000,1330000,,253.43,0.2,10300000,3170000
251.54,-21.61,0.2,35200000,9540000,,258.11,0.2,5450000,1830000,,254.71,0.2,5400000,1350000,,253.35,0.2,10500000,3220000
251.5,-21.65,0.2,35500000,9600000,,258.1,0.2,5580000,1880000,,254.62,0.2,5550000,1380000,,253.34,0.2,10600000,3250000
251.48,-21.67,0.2,35700000,9660000,,258.1,0.2,5620000,1890000,,254.61,0.2,5800000,1440000,,253.33,0.2,10700000,3280000
251.38,-21.77,0.2,35900000,9720000,,258.08,0.2,5750000,1940000,,254.6,0.2,5850000,1460000,,253.31,0.2,11000000,3360000
251.34,-21.81,0.2,36100000,9780000,,258.01,0.2,5840000,1970000,,254.59,0.2,5950000,1480000,,253.3,0.2,11200000,3420000
251.31,-21.84,0.2,36400000,9890000,,257.98,0.2,5890000,1980000,,254.58,0.2,6000000,1490000,,253.29,0.2,11200000,3450000
251.3,-21.85,0.2,36800000,9960000,,257.97,0.2,5930000,2000000,,254.58,0.2,6050000,1510000,,253.29,0.2,11400000,3500000
251.29,-21.86,0.2,37100000,10000000,,257.95,0.2,6110000,2060000,,254.55,0.2,6100000,1520000,,253.17,0.2,11500000,3530000
251.27,-21.88,0.2,37300000,10100000,,257.94,0.2,6200000,2090000,,254.54,0.2,6200000,1540000,,253.16,0.2,11700000,3580000
251.26,-21.89,0.2,37500000,10100000,,257.92,0.2,6240000,2100000,,254.5,0.2,6250000,1550000,,253.15,0.2,11900000,3640000
251.26,-21.89,0.2,37700000,10200000,,257.91,0.2,6330000,2130000,,254.45,0.2,6350000,1580000,,253.12,0.2,12000000,3670000
251.22,-21.93,0.2,38000000,10300000,,257.89,0.2,6460000,2180000,,254.43,0.2,6450000,1600000,,253.12,0.2,12100000,3700000
251.11,-22.04,0.2,38200000,10500000,,257.87,0.2,6510000,2190000,,254.42,0.2,6500000,1620000,,253.1,0.2,12300000,3780000
251.09,-22.06,0.2,39100000,10600000,,257.84,0.2,6550000,2210000,,254.42,0.2,6550000,1630000,,253.1,0.2,12500000,3840000
251.06,-22.09,0.2,39600000,10700000,,257.8,0.2,6730000,2270000,,254.42,0.2,6600000,1640000,,253.03,0.2,12900000,3950000
251.03,-22.12,0.2,39800000,10800000,,257.8,0.2,6780000,2280000,,254.41,0.2,6800000,1690000,,253,0.2,13100000,4010000
251.03,-22.12,0.2,40000000,10900000,,257.8,0.2,6870000,2310000,,254.39,0.2,6950000,1730000,,252.97,0.2,13300000,4060000
251.02,-22.13,0.2,40500000,10900000,,257.8,0.2,6960000,2340000,,254.39,0.2,7000000,1740000,,252.95,0.2,13600000,4150000
251,-22.15,0.2,40700000,11000000,,257.77,0.2,7000000,2360000,,254.29,0.2,7200000,1790000,,252.95,0.2,13700000,4200000
251,-22.15,0.2,40900000,11100000,,257.73,0.2,7180000,2420000,,254.26,0.2,7250000,1800000,,252.92,0.2,14000000,4290000
250.97,-22.18,0.2,41200000,11200000,,257.7,0.2,7230000,2430000,,254.25,0.2,7310000,1820000,,252.88,0.2,14200000,4350000
250.95,-22.2,0.2,41600000,11300000,,257.69,0.2,7640000,2570000,,254.24,0.2,7560000,1880000,,252.85,0.2,14300000,4380000
250.94,-22.21,0.2,41900000,11400000,,257.66,0.2,7820000,2630000,,254.24,0.2,7660000,1900000,,252.81,0.2,14600000,4460000
250.92,-22.23,0.2,42300000,11500000,,257.64,0.2,8150000,2740000,,254.21,0.2,7710000,1920000,,252.81,0.2,14700000,4490000
250.9,-22.25,0.2,43000000,11700000,,257.63,0.2,8380000,2820000,,254.21,0.2,7760000,1930000,,252.78,0.2,14900000,4550000
250.86,-22.29,0.2,43500000,11800000,,257.61,0.2,8420000,2830000,,254.2,0.2,7920000,1970000,,252.76,0.2,15200000,4660000
250.84,-22.31,0.2,43700000,11900000,,257.61,0.2,8520000,2860000,,254.2,0.2,8020000,1990000,,252.71,0.2,15400000,4720000
250.82,-22.33,0.2,44200000,11900000,,257.61,0.2,8750000,2940000,,254.15,0.2,8230000,2040000,,252.69,0.2,15500000,4750000
250.8,-22.35,0.2,44400000,12000000,,257.6,0.2,9080000,3050000,,254.12,0.2,8280000,2050000,,252.69,0.2,15700000,4810000
250.8,-22.35,0.2,44700000,12100000,,257.52,0.2,9120000,3070000,,254.1,0.2,8330000,2070000,,252.65,0.2,15800000,4840000
250.77,-22.38,0.2,44900000,12100000,,257.49,0.2,9220000,3100000,,254.1,0.2,8380000,2080000,,252.64,0.2,15900000,4870000
250.73,-22.42,0.2,45100000,12200000,,257.49,0.2,9360000,3150000,,254.09,0.2,8430000,2090000,,252.59,0.2,16000000,4890000
250.73,-22.42,0.2,45400000,12300000,,257.48,0.2,9500000,3190000,,254.08,0.2,8540000,2120000,,252.58,0.2,16100000,4920000
250.69,-22.46,0.2,45600000,12300000,,257.46,0.2,9740000,3270000,,254.06,0.2,8590000,2130000,,252.58,0.2,16600000,5070000
250.69,-22.46,0.2,45800000,12400000,,257.46,0.2,9790000,3290000,,253.95,0.2,8740000,2170000,,252.55,0.2,16700000,5100000
250.69,-22.46,0.2,46300000,12500000,,257.43,0.2,9840000,3310000,,253.94,0.2,8900000,2210000,,252.48,0.2,16900000,5160000
250.68,-22.47,0.2,46600000,12600000,,257.42,0.2,9930000,3340000,,253.94,0.2,9050000,2250000,,252.47,0.2,17100000,5220000
250.64,-22.51,0.2,46800000,12600000,,257.41,0.2,10100000,3400000,,253.92,0.2,9160000,2270000,,252.43,0.2,17200000,5240000
250.6,-22.55,0.2,47000000,12700000,,257.38,0.2,10200000,3420000,,253.92,0.2,9210000,2290000,,252.41,0.2,17300000,5300000
250.59,-22.56,0.2,47300000,12800000,,257.38,0.2,10200000,3430000,,253.91,0.2,9260000,2300000,,252.38,0.2,17400000,5330000
250.55,-22.6,0.2,47500000,12900000,,257.3,0.2,10400000,3500000,,253.88,0.2,9320000,2310000,,252.36,0.2,17600000,5390000
250.51,-22.64,0.2,48000000,13000000,,257.3,0.2,10500000,3520000,,253.76,0.2,9470000,2350000,,252.34,0.2,17700000,5420000
250.5,-22.65,0.2,48500000,13100000,,257.3,0.2,10600000,3560000,,253.76,0.2,9520000,2360000,,252.27,0.2,17800000,5450000
250.49,-22.66,0.2,48700000,13100000,,257.28,0.2,10800000,3630000,,253.75,0.2,9630000,2390000,,252.26,0.2,17900000,5480000
250.49,-22.66,0.2,48900000,13400000,,257.27,0.2,11000000,3710000,,253.74,0.2,9730000,2410000,,252.24,0.2,18000000,5510000
250.49,-22.66,0.2,49900000,13500000,,257.25,0.2,11100000,3730000,,253.72,0.2,9790000,2430000,,252.24,0.2,18100000,5540000
250.48,-22.67,0.2,50100000,13500000,,257.25,0.2,11400000,3830000,,253.7,0.2,9890000,2450000,,252.19,0.2,18200000,5570000
250.47,-22.68,0.2,50400000,13600000,,257.2,0.2,11500000,3860000,,253.61,0.2,9950000,2470000,,252.18,0.2,18300000,5600000
250.34,-22.81,0.2,50600000,13800000,,257.17,0.2,11700000,3930000,,253.61,0.2,10000000,2480000,,252.17,0.2,18400000,5630000
250.33,-22.82,0.2,51300000,13900000,,257.15,0.2,11700000,3940000,,253.57,0.2,10100000,2490000,,252.14,0.2,18600000,5690000
250.33,-22.82,0.2,51800000,14000000,,257.14,0.2,12000000,4030000,,253.56,0.2,10100000,2510000,,252.13,0.2,19100000,5840000
250.32,-22.83,0.2,52100000,14100000,,257.13,0.2,12000000,4040000,,253.56,0.2,10200000,2530000,,252.1,0.2,19200000,5870000
250.32,-22.83,0.2,52300000,14200000,,257.12,0.2,12200000,4110000,,253.56,0.2,10300000,2560000,,252.09,0.2,19400000,5930000
250.31,-22.84,0.2,53000000,14300000,,257.1,0.2,12300000,4130000,,253.55,0.2,10400000,2580000,,252.04,0.2,19500000,5960000
250.27,-22.88,0.2,53300000,14400000,,257.08,0.2,12500000,4190000,,253.48,0.2,10500000,2610000,,252.03,0.2,19700000,6020000
250.21,-22.94,0.2,53500000,14400000,,257.07,0.2,12600000,4240000,,253.47,0.2,10600000,2620000,,252.01,0.2,19800000,6050000
250.2,-22.95,0.2,53700000,14500000,,257.05,0.2,12800000,4290000,,253.45,0.2,10700000,2660000,,252,0.2,19900000,6080000
250.19,-22.96,0.2,54000000,14600000,,257.03,0.2,12900000,4330000,,253.44,0.2,11000000,2730000,,251.99,0.2,20000000,6110000
250.18,-22.97,0.2,54200000,14600000,,256.98,0.2,13000000,4360000,,253.44,0.2,11100000,2740000,,251.97,0.2,20200000,6170000
250.16,-22.99,0.2,54500000,14800000,,256.97,0.2,13100000,4410000,,253.43,0.2,11100000,2760000,,251.96,0.2,20300000,6200000
,,,,,,256.96,0.2,13200000,4430000,,253.41,0.2,11300000,2810000,,251.86,0.2,20500000,6260000
