"variable, slope, intercept, r_value, r_squared, p_value, std_err"
Domain_mean_Ice_water_path_mean_HM_on,-0.03475371536940058,0.26889960569394405,-0.35090138349059974,0.12313178093561694,0.5625645894389221,0.053545465324668896
Domain_mean_Ice_water_path_mean_HM_off,-0.021567950640504444,0.21250218649298497,-0.14924825069053596,0.022275040334185068,0.8106790844997774,0.0824987474967759
Domain_mean_Ice_water_path_mean_all_HM_on_off,-0.028160833004952507,0.24070086629114212,-0.11309211706056534,0.012789826941240614,0.7557508497566309,0.0874727903721646
Domain_mean_Liquid_water_path_mean_HM_on,0.0052008025918459586,0.14059995890138663,0.27773438495277575,0.07713638858509662,0.6509778981421531,0.010386012767888536
Domain_mean_Liquid_water_path_mean_HM_off,0.019713172340305795,0.1358706223830244,0.8777324027282856,0.7704141707991693,0.05036991257641138,0.006213070753540289
Domain_mean_Liquid_water_path_mean_all_HM_on_off,0.012456987466075877,0.1382352906422055,0.35948599685037397,0.1292301819315071,0.30761060576176236,0.01143240864945644
Domain_mean_Cloud_drop_mass_mean_HM_on,-0.003721418968872536,0.025549606380721977,-0.6710972219207836,0.45037148126979343,0.21490858854708633,0.002373543131991069
Domain_mean_Cloud_drop_mass_mean_HM_off,-0.0018003492718077008,0.02460311292760937,-0.3737982645608301,0.13972514258868832,0.535393350796776,0.002579155187810636
Domain_mean_Cloud_drop_mass_mean_all_HM_on_off,-0.0027608841203401184,0.025076359654165676,-0.3883702506120495,0.15083145156046612,0.2674003340950968,0.0023160833272137327
Domain_mean_Rain_mass_mean_HM_on,0.008922218527197968,0.11505033515775469,0.47614432779438526,0.226713420890767,0.41751164951528225,0.009513577271541332
Domain_mean_Rain_mass_mean_HM_off,0.021513457843893427,0.1112674763724458,0.9042003617429802,0.8175782941761364,0.035078289015704686,0.0058670957016155895
Domain_mean_Rain_mass_mean_all_HM_on_off,0.015217838185545696,0.11315891321568083,0.48476873741995746,0.23500072877973965,0.15559900892420686,0.00970742121483007
Domain_mean_Ice_crystal_mass_mean_HM_on,-0.11258207192836617,0.004187769757609459,-0.9980898836227835,0.9961834157901415,0.00010018417535098331,0.004023244076581308
Domain_mean_Ice_crystal_mass_mean_HM_off,-0.13933168657859812,0.01383857711524461,-0.9624051322734084,0.9262236386261967,0.008700863440826824,0.022703350428201347
Domain_mean_Ice_crystal_mass_mean_all_HM_on_off,-0.12595687925348215,0.009013171573781883,-0.8944463521465066,0.8000342768681925,0.000477278823721424,0.022263855785618285
Domain_mean_Graupel_mass_mean_HM_on,0.05963506332394217,0.08062366612724053,0.9373540666666603,0.8786326462965259,0.018644448492569295,0.012796415430411903
Domain_mean_Graupel_mass_mean_HM_off,0.12746904683304267,0.07442946741428405,0.8714958179707896,0.7595049607405756,0.05421959124345008,0.041412539660925875
Domain_mean_Graupel_mass_mean_all_HM_on_off,0.09355205507849242,0.07752656490811714,0.6999312267121832,0.48990372212682165,0.024226305626129374,0.033750409486944424
Domain_mean_Snow_mass_mean_HM_on,0.0181933513310653,0.18408818500803292,0.19272651580193897,0.037143509893155034,0.7561406459624163,0.053479998921121735
Domain_mean_Snow_mass_mean_HM_off,-0.009705404504547887,0.12423411230020476,-0.09085862203796846,0.008255289198638409,0.8844745756889356,0.0614167475629267
Domain_mean_Snow_mass_mean_all_HM_on_off,0.004243973413258709,0.15416115610469944,0.01902836957816121,0.000362078848803091,0.9583905096460459,0.07884015047368689
Domain_mean_Total_water_path_HM_on,-0.0295528147259133,0.40949961376231264,-0.2823947980320506,0.07974682195556264,0.6452815466762222,0.05796090986233733
Domain_mean_Total_water_path_HM_off,-0.0018549632352288618,0.34837274255003614,-0.012336200907513573,0.0001521818528305387,0.984293459567026,0.0868080892584023
Domain_mean_Total_water_path_all_HM_on_off,-0.015703888980571075,0.37893614835385203,-0.05687945002747809,0.003235271835428377,0.8759779670675677,0.09745478441200991
Norm_to_cloud_mean_Ice_water_path_mean_HM_on,-0.012698396005228466,0.6173930785135496,-0.05568374530942591,0.003100679491685012,0.9291379095810927,0.1314575248366396
Norm_to_cloud_mean_Ice_water_path_mean_HM_off,-0.08304920347671882,0.4603098105271618,-0.27619671249391003,0.0762846239924436,0.6528591328822818,0.16684969826735746
Norm_to_cloud_mean_Ice_water_path_mean_all_HM_on_off,-0.04787379974097363,0.5388514147180333,-0.08138601284148096,0.006623683086233704,0.8231426447103067,0.2072812569596427
Norm_to_cloud_mean_Liquid_water_path_mean_HM_on,0.04357436853208161,0.322419920819813,0.6543424772105984,0.42816407748210245,0.2308834357115935,0.029073751762203212
Norm_to_cloud_mean_Liquid_water_path_mean_HM_off,0.02115570623639923,0.2945615042981233,0.37068501970968065,0.13740738383716633,0.5390723924914359,0.030603051501239258
Norm_to_cloud_mean_Liquid_water_path_mean_all_HM_on_off,0.03236503738424042,0.30849072746012934,0.30576250150795065,0.09349070732839952,0.39024669538247336,0.0356314115112369
Norm_to_cloud_mean_Cloud_drop_mass_mean_HM_on,-0.002283571355473219,0.05861903931311619,-0.26965254884314493,0.07271249709760466,0.6608750723037906,0.004708218755137967
Norm_to_cloud_mean_Cloud_drop_mass_mean_HM_off,-0.008129630441490196,0.05334624089376093,-0.4235189902904388,0.1793683351366328,0.4773435508458191,0.010039484722674456
Norm_to_cloud_mean_Cloud_drop_mass_mean_all_HM_on_off,-0.005206600898481708,0.055982643828728855,-0.24615230173443722,0.06059095564916143,0.49299855232158163,0.007248243302111082
Norm_to_cloud_mean_Rain_mass_mean_HM_on,0.04585791723278623,0.2638008584060532,0.7005267246941184,0.4907376920106691,0.18764164003679115,0.026971168218321684
Norm_to_cloud_mean_Rain_mass_mean_HM_off,0.029285208343751076,0.24121521943262472,0.6065254322970026,0.3678731000230659,0.2781306758617085,0.022163625878648948
Norm_to_cloud_mean_Rain_mass_mean_all_HM_on_off,0.037571562788268655,0.252508038919339,0.41221915118448504,0.16992462860325733,0.2365065568526354,0.029359243838276816
Norm_to_cloud_mean_Ice_crystal_mass_mean_HM_on,-0.2440495201948167,0.010725723597539837,-0.9980020797330241,0.9960081511514415,0.00010716942249173598,0.00892016583992309
Norm_to_cloud_mean_Ice_crystal_mass_mean_HM_off,-0.31227156171377524,0.02947769816841834,-0.9740890354577302,0.9488494489989712,0.004987283430632472,0.041859912016536056
Norm_to_cloud_mean_Ice_crystal_mass_mean_all_HM_on_off,-0.27816054095429593,0.020101714608269386,-0.9015071254332745,0.8127150972069657,0.00036502322064310873,0.047209864075821076
Norm_to_cloud_mean_Graupel_mass_mean_HM_on,0.14854396476346213,0.18434949143901894,0.9494985897658716,0.901547571967379,0.013519842213987094,0.028340876371647842
Norm_to_cloud_mean_Graupel_mass_mean_HM_off,0.27005239298438766,0.16102586483950146,0.882403031850646,0.7786351106192121,0.04754612168739785,0.0831332540715693
Norm_to_cloud_mean_Graupel_mass_mean_all_HM_on_off,0.20929817887392488,0.1726876781392602,0.7012481396169371,0.4917489533162153,0.02384602423507122,0.07522944792870499
Norm_to_cloud_mean_Snow_mass_mean_HM_on,0.08280730883079702,0.42231788553301064,0.3486831623171878,0.12157994768351435,0.5652104952580973,0.12850741506020025
Norm_to_cloud_mean_Snow_mass_mean_HM_off,-0.04083016105190951,0.26980617787129924,-0.16209852847065834,0.026275932932352832,0.7945171891184115,0.14350245980416096
Norm_to_cloud_mean_Snow_mass_mean_all_HM_on_off,0.02098857388944377,0.34606204660331613,0.03967585111077135,0.001574173161364096,0.9133455706453963,0.18688291024138376
Norm_to_cloud_mean_Total_water_path_HM_on,0.03087614207437547,0.9398130924227102,0.11927735551507906,0.014227087538670562,0.8484922346786197,0.1483859705150443
Norm_to_cloud_mean_Total_water_path_HM_off,-0.06189382564184277,0.7548712201654689,-0.20137770991431567,0.04055298205033427,0.7453416117286841,0.17381441887914928
Norm_to_cloud_mean_Total_water_path_all_HM_on_off,-0.015508841783733632,0.8473421264917671,-0.023046638744963325,0.0005311475574408447,0.9496122467631287,0.23785452052082745
Norm_to_cloud_DIFF_TO_NOINP_mean_Ice_water_path_mean_HM_on,-0.012698396005228466,0.22308293194334394,-0.05568374530942591,0.003100679491685012,0.9291379095810927,0.1314575248366396
Norm_to_cloud_DIFF_TO_NOINP_mean_Liquid_water_path_mean_HM_on,0.04357436853208161,0.04784093226771951,0.6543424772105984,0.42816407748210245,0.2308834357115935,0.029073751762203212
Norm_to_cloud_DIFF_TO_NOINP_mean_Cloud_drop_mass_mean_HM_on,-0.002283571355473219,0.003831680112698197,-0.26965254884314493,0.07271249709760466,0.6608750723037906,0.004708218755137967
Norm_to_cloud_DIFF_TO_NOINP_mean_Rain_mass_mean_HM_on,0.04585791723278623,0.044009226260409956,0.7005267246941184,0.4907376920106691,0.18764164003679115,0.026971168218321684
Norm_to_cloud_DIFF_TO_NOINP_mean_Ice_crystal_mass_mean_HM_on,-0.24404951760303314,-0.08925223856330758,-0.9980020791674963,0.9960081500226455,0.0001071694679854285,0.008920167011447284
Norm_to_cloud_DIFF_TO_NOINP_mean_Graupel_mass_mean_HM_on,0.14854396476346213,0.0785400338389022,0.9494985897658716,0.901547571967379,0.013519842213987094,0.028340876371647842
Norm_to_cloud_DIFF_TO_NOINP_mean_Snow_mass_mean_HM_on,0.08280730883079702,0.23379521884027687,0.3486831623171878,0.12157994768351435,0.5652104952580973,0.12850741506020025
Norm_to_cloud_DIFF_TO_NOINP_mean_Total_water_path_HM_on,0.03087614207437547,0.27092386789344375,0.11927735551507906,0.014227087538670562,0.8484922346786197,0.1483859705150443
